10	0	1	03/11/25	11:51			5838.4244	eferraro	03/11/25	11:51	pedidos	0	Prov. 1299 OC: 
44	0	1	03/11/25	11:32			3011.6620	eferraro	03/11/25	11:32	pedidos	0	Prov. 1001 OC: 
50	0	1	03/11/25	07:19			5960.0000	lrojas	03/11/25	07:19	pedidos	0	Prov. 1012 OC: 
50	0	1	03/11/25	07:21			5960.0000	lrojas	03/11/25	07:21	pedidos	0	Prov. 1013 OC: 
56	0	1	03/11/25	11:32			11205.2120	eferraro	03/11/25	11:32	pedidos	0	Prov. 1001 OC: 
60	0	1	03/11/25	11:32			3011.6620	eferraro	03/11/25	11:32	pedidos	0	Prov. 1001 OC: 
68	0	1	03/11/25	11:32			8463.0848	eferraro	03/11/25	11:32	pedidos	0	Prov. 1001 OC: 
129	0	1	03/11/25	10:56			6796.0376	eferraro	03/11/25	10:56	pedidos	0	Prov. 1005 OC: 
139	0	1	03/11/25	10:16			3938.4200	eferraro	03/11/25	10:16	pedidos	0	Prov. 1006 OC: 
177	0	1	03/11/25	07:19			5960.0000	lrojas	03/11/25	07:19	pedidos	0	Prov. 1012 OC: 
177	0	1	03/11/25	07:21			5960.0000	lrojas	03/11/25	07:21	pedidos	0	Prov. 1013 OC: 
213	0	1	03/11/25	11:57			2308.5316	eferraro	03/11/25	11:57	pedidos	0	Prov. 1024 OC: 
501	0	1	03/11/25	11:57			2954.1872	eferraro	03/11/25	11:57	pedidos	0	Prov. 1024 OC: 
818	0	1	03/11/25	07:21			2951.2000	lrojas	03/11/25	07:21	pedidos	0	Prov. 1013 OC: 
1118	0	1	03/11/25	08:37			1183.4711	eferraro	03/11/25	08:37	pedidos	0	Prov. 1035 OC: 
1119	0	1	03/11/25	08:37			1183.4711	eferraro	03/11/25	08:37	pedidos	0	Prov. 1035 OC: 
1336	0	1	03/11/25	11:57			4268.5044	eferraro	03/11/25	11:57	pedidos	0	Prov. 1024 OC: 
1339	0	1	03/11/25	11:57			1019.2775	eferraro	03/11/25	11:57	pedidos	0	Prov. 1024 OC: 
1340	0	1	03/11/25	11:57			998.6800	eferraro	03/11/25	11:57	pedidos	0	Prov. 1024 OC: 
